Country name,Rank by 2020 score,"Score, 2020",95pct conf interval,Rank by 2017-19 score,Score_2017-19,95pct conf interval
Ethiopia*,85,4.549,4.249-4.850,90,4.186,4.110-4.263
Kenya*,86,4.547,4.307-4.786,84,4.583,4.450-4.716
Egypt*,87,4.472,4.200-4.745,91,4.151,4.081-4.222
Namibia*,88,4.451,4.207-4.695,85,4.571,4.452-4.691
Myanmar*,89,4.431,4.223-4.639,89,4.308,4.224-4.392
Benin*,90,4.408,4.212-4.603,65,5.216,5.064-5.368
Cambodia*,91,4.377,4.140-4.614,76,4.848,4.735-4.962
India**,92,4.225,4.151-4.299,93,3.573,3.519-3.628
Jordan*,93,4.094,3.882-4.306,83,4.633,4.518-4.749
Tanzania*,94,3.786,3.504-4.067,94,3.476,3.352-3.600
Zimbabwe*,95,3.16,2.954-3.365,95,3.299,3.184-3.414
